company_name,ticker,sector,founding_year,number_of_employees,ceo_tenure_years,ceo_count_since_2010,average_glassdoor_rating,institutional_ownership_pct,board_member_count,job_positions_open
Masters Capital Corporation,MMME,Real Estate Investment Funds (REITs),2007,50000,2.5,3,4.8,90.2,9,25000
"American Operations Services, Inc.",AOS,Transportation,1980,2500,5.0,2,7.8,25.0,12,100
Abbott Laboratories,ABT,Healthcare,1886,550000,12.0,5,4.2,95.0,13,100
AbbVie Inc.,ABBV,Healthcare,2012,42500,5.0,8,4.1,75.0,16,500
,ACN,,0,0,0.0,0,0.0,0.0,0,0
Adobe,ADBE,Software,1982,239830,10.0,3,4.2,85.0,16,12
"Advanced Micro Devices, Inc.",AMD,Technology – Semiconductors/RNA/Digital Logic/Electronics/Computers/Media & Mobile,1969,1300000,10.0,7,3.2,95.0,11,10000
Advanced Encryption Standard,AES,Technology,1977,450000,12.0,2,3.5,60.0,20,500000
American Football League,AFL,Sports Business/League,1960,25,2.0,4,8.5,70.0,100,10
,,,-1,-1,-1.0,-1,-1.0,-1.0,-1,-1
"Adventive Pharmaceuticals, Inc.",APD,Pharmaceuticals,1989,13000,2.5,1,-20.0,50.0,12,500
"Airbnb, Inc.",ABNB,Hospitality & Travel,2008,1000000,10.0,5,4.2,25.0,15,120000
Akamai Technologies,AKAM,Technology IT Services Cybersecurity Networking Internet Infrastructure Security Management Information Systems Data Centers Hardware Networking Technology,1998,22000,8.5,3,4.0,97.1,13,300
,ALB,,0,0,0.0,0,0.0,0.0,0,0
,,,0,0,0.0,0,0.0,0.0,0,120
Algonquin Power & Utilities,ALGN,Renewable Energy,2001,2609,8.0,2,75.0,20.5,7,300
ALEXANDER & BUHLER LIMITED,.AXA,Financial Services,1940,125000,2.0,1,3.8,42.0,15,5
Norfolk Southern Corporation,LNT,Transportation,1888,21320,3.5,12,-22.0,98.0,7,250
Apple Inc.?,AAPL,Technology,1976,170000,19.0,10,4.5,76.9,12,45
,,,0,0,0.0,0,0.0,0.0,0,0
Alphabet Inc.,GOOG,Technology,1998,160000,14.0,1,4.9,50.0,13,500
<Not Available>,MO,Health Care Equipment & Supplies,1949,15000,5.3,5,83.0,20.0,15,200
"Amazon.com, Inc.",AMZN,E-commerce and cloud computing,1994,1,0.0,5,3.0,75.4,20,10
American Consolidated Resources,AMCR,Energy,1986,1500,2.0,1,2.8,20.0,9,45
,AEE,,0,0,0.0,0,0.0,0.0,0,0
American Electric Power,AEP,Utilities,1906,20000,10.1,4,79.0,80.0,11,100
American Express,AXP,Financial Services,1850,57000,25.6,6,3.9,58.23,12,200
"American International Group, Inc.",AIG,Financial Services,1919,43000,5.67,3,2.9,80.0,12,500
AT&T,AMT,Telecommunications,1875,250000,4.0,45,78.0,40.0,15,100
,,,0,0,0.0,0,-1.0,-1.0,0,0
AMP National Corporation,AMGPF,Information Services,1943,1000000000,10.0,2,4.5,65.0,15,50
American Express Company,AXP,Financial Services,1850,70000,5.0,7,4.1,95.0,12,123
Amgen Inc.,AMGN,Pharmaceuticals & Biotechnology,1986,32343,0.5,3,4.1,85.0,10,45643
"Applause, Inc.",APH,Technology,1997,30000,10.0,6,4.2,65.0,15,200
Analog Devices Inc.,ADI,Technology,1965,10800,5.8,2,4.6,94.1,15,50
"Analog Semiconductor, Inc.",ANS,Technology - Computer Hardware,1988,4000,5.0,2,3.7,40.0,13,100
Aon Corporation,.aon (AON),"Consulting Services; Insurance Brokers & Agencies; Commercial Banking; Government Services, Regional Authorities & Other Public Bodies in North America",1982,500000,0.58,28,-2.34,90.6,17,200000
,,,0,0,0.0,0,0.0,0.0,0,0
American Premier Underwriters,APOL,Life Insurance,1994,0,1.5,2,3.8,60.5,4,100
Apple Inc.,AAPL,Technology,1976,164550,2020.0,3,4.1,60.0,20,100
AMD,AMAT,Technology,1968,10900,10.0,7,3.5,78.1,11,100
"American Pre-Paid Telecommunications, Inc.",APTV,Telecommunications Services,1996,2000,8.5,2,68.0,25.0,15,20
,,,0,0,0.2,8,65.0,50.0,12,5
Admiral Insurance (New York),ADM,Property & Casualty Insurance,1906,28000,10.0,4,5.2,90.0,15,1500
Ameriprise Financial,**ANET**,"Insurance (Mutual),",1876,2,4.0,1,82.0,83.0,11,42
Allergan plc,AGL,Pharmaceuticals/Healthcare,1983,8000,4.0,2,2.5,40.0,12,100
Advanced Accelerator Design LLC,AIZ,Technology,2004,1000,3.0,2,3.5,40.0,5,50
"Tesla Motors, Inc.",TSLA,Automotive,2003,125000,8.0,2,8.5,45.0,16,10000
Atlanta Gas Light Co.,ATG,Electric Utilities,1886,3500,25.0,3,68.0,73.23,11,50
Autodesk Inc.,ADSK,Technology software and services,1982,6000,5.0,4,81.0,83.7,14,30
"Automatic Data Processing, Inc.",ADP,Technology,1911,5200000,8.14,2,4.13,85.3,8,100000
AZO,AZO,Financial Services Software,1996,8009,8.0,2,4.5,35.0,7,12
AMREP Healthcare Corporation,AVB,Healthcare – Outpatient Services,1999,3000,15.0,5,4.2,55.0,9,50
Avy,AVY,Consumer Discretionary,1998,5000,4.0,4,2.3,60.0,7,500
Axon,AXON,Technology Industrials Sector,2003,2000,4.0,2,86.0,65.0,12,20
Brandywine Realty Trust,BKR,Commercial Real Estate - REITs,1972,1200,3.0,2,4.5,90.7,12,500
Ball Corporation,BALL,Consumer Staples: Packaging & Containers,1883,130000,10.0,4,0.65,90.0,11,300000
,B,Financial Services,1909,456000,13.0,8,3.1,45.12,16,235
Weyerhaeuser Co.,BAX,Forestry,1909,21000,4.8,3,2.5,50.1,20,100
Broadcom Inc.,BDX,semiconductor,1991,5500,5.9,2,4.8,60.0,14,50
Berkshire Hathaway,BRK.B,Financial Services,1888,440000,54.0,5,3.7,95.4,33,500000
Baby Bells,BBY,Retail,1994,120000,15.0,2,8.3,45.0,11,500
,,,0,0,0.0,0,0.0,0.0,0,0
Biogen Inc.,BIIB,Biotechnology/Pharmaceuticals,1981,10700,3.14,2,4.9,85.5,12,15
,BLK,,0,0,0.0,0,0.0,0.0,0,0
Brighton Beach,BX,Healthcare - Managed Care Sector,1988,1000,10.0,3,85.5,75.0,12,50
Blackstone Group,BLACKSTONE GROUP LIMITED [BLACK] US0018DR1037 BLACK STOCKHOLDER CERTIFICATES/CONVERTIBLE SECUITIES OF [TICKERNAME] INC.,Financial Services,1996,8500,10.0,2,4.1,0.02,15,200
Bayerische Motoren Werke,BMW,Automotive,1916,120,3.0,2,4.5,35.0,23,25
Booking Holdings Inc.,BKNG,Travel and Leisure,1979,50000,13.5,0,4.1,75.3,15,10000
"BD Biosciences Inc. (Biomarker Systems, Inc.)",BDX,Healthcare,1989,10000,15.0,3,4.2,60.0,10,20
Becton Dickinson and Company,Bmy.,Healthcare,1897,30000,5.82,3,4.1,50.2,15,100
Avgo Technologies,AVGO,Semiconductors,2000,900,10.0,2,3.5,75.0,11,50
Acme Corporation,$ACME,Manufacturing,1960,20000,15.0,3,4.2,45.0,10,100
,,,0,0,0.0,0,0.0,0.0,0,0
Brain Food Inc.,BF.B,Food and Beverage-Consumer Staples,2008,250,5.0,3,82.9,75.0,6,20
Bldr Corp,BLDR,Technology,2021,15,2.5,4,4.8,35.0,9,3
Boston Globe,BGLB,Publishing,1872,70000,8.0,3,4.5,20.0,6,100
Brown-Forman Corporation,BXP,Consumer Goods: Tobacco and Bottled/Flavored Beverages,1854,33000,6.0,3,2.8,50.0,11,100
"<search for full company name, e.g. Chetek...",Chewonchi,Natural Resources,1956,1500,10.0,3,2.1,35.0,8,20
"Cavendish Kinetics, Inc.",CDNS,Biotechnology,2015,25,-1.3,2,4.2,89.6,10,0
Consol Energy Inc.,CZR,Conventional Energy,1909,2300,3.5,1,2.8,42.0,12,25
,,,0,0,0.0,0,0.0,0.0,0,0
Cincinnati Public Schools,CPB,Educational Services,1819,5500,3.5,2,3.6,30.4,7,100
[Full Company Name],COF,financial services,1919,1100000,3.2,4,85.0,70.0,12,5000
CA Healthcare Acquisition,CAH,Healthcare,2010,25000,7.0,3,5.0,85.0,11,200
"Mars, Inc.",KMX,Consumer Goods,1932,75,2015.0,4,3.1,99.0,13,8
Caesars Entertainment Corporation,CCL,Leisure and Amusement,1937,75000,2.5,3,3.4,85.0,14,200
Aerotek,CARR,Technology Software Services,2007,1000,2.0,1,4.5,85.6,11,0
"Cat,",CAT,Industrial,1843,35000,25.0,5,4.9,68.2,14,1006
Chicago Board Options Exchange (CBOE),CBOE,Financial Services,1973,1300,5.2,4,3.0,20.8,16,50
Carrington College of Health Sciences,CBRE,REIT (Real Estate Investment Trust),1998,180000,4.5,6,2.9,86.2,10,100
Computer Dataways,CDW,Technology,1970,50000,1.0,2,3.7,45.6,10,100
Corporation,COR,Energy,1962,10000000,1.5,3,83.0,65.0,7,500
CNH Industrial N.V.,.CNHI,Agricultural Products,1842,41000,16.2,4,3.5,70.7,8,200
CNP Digital,CNPD,Technology,2014,1000,3.0,1,3.5,60.0,6,50
Coca-Cola Company,KO,Consumer Goods,1892,737000,8.0,4,3.6,40.0,15,50
Community Reinvestment Corp,CRL,Financial Services,1977,70000,2.0,4,3.5,75.0,15,20
,SCHW,Banking - National Commercial Banks,1866,22000,5.0,9,3.8,25.0,10,3
-,CHTR,-,-1,-1,-1.0,-1,-1.0,-1.0,-1,-1
Chevron Corporation,CVX,Energy,1879,54000,4.0,3,1.2,75.43,15,5
Colgate-Palmolive Company,CMG,Consumer Goods,1806,86540,2.5,10,3.9,70.0,13,500
Citigroup Inc.,C,Financial Services,1812,220000,11.0,7,1.86,45.0,14,2500
"Cardinal Health, Inc.",CHD,Healthcare,1957,1000000,4.6,2,4.0,45.0,13,300
...,...,...,1884,500000,4.0,2,3.8,95.5,9,200
Central Industries Corporation,$CINF,Industrial Equipment Manufacturing,1968,2500,10.0,3,4.5,65.0,12,500
CARES Training and Services,@CTAS,Professional Services,1976,50,5.0,2,4.1,35.0,8,20
Cisco Systems,CSCO,Technology,1984,134500,13.0,1,2.7,64.0,9,0
Apple Inc.,AAPL,Technology Equipment & Electronics Retailing Service Hardware Retailing Technology Retailing Information Technology Equipment Electronics,1976,180000,11.0,7,79.4,40.0,15,10
Commonwealth Financial Corporation,CFG,Consumer Financial Services,1945,1502,6.0,0,3.4,80.45,12,20
CommScope Holdings Corp,CLX,Industrials - Communications Equipment,1982,90000,10.0,4,82.0,98.7,8,20
Chicago Mercantile Exchange Inc.,CME,Financial Services,1873,1000,12.0,4,4.2,95.0,6,150
,,,0,0,0.0,0,0.0,0.0,0,0
Coca-Cola Company,KO,Consumer Staples,1892,7000000,1.5,9,3.7,45.0,10,500
"Catalyst Health Solutions, Inc.",CTSH,Healthcare Technology Services,1997,600,12.0,2,4.3,95.0,9,50
Canadian Lithium Corp,CL,Basic Materials - Metals & Mining Company,2010,150,2.5,3,4.8,30.5,13,100
Comcast Corporation,CMCSA,Telecommunications,1963,1100000,15.0,8,72.0,80.9,16,100000
Central Garden & Pet,CAG,Consumer Goods,1986,22000,5.0,2,3.8,60.0,11,500
Copart Inc.,${COP},Industrials,1985,6000,11.0,2,3.7,85.9,12,300
"Eaton Company, Inc.",EE,Diversified Industrials,1911,110000,3.0,2,58.0,87.0,15,200
Starz Inc.,STZ,Entertainment Media and Services (M-Internet),1988,2200,2.0,1,4.42,45.5,9,5
Cigna,CGWY.WSS,Healthcare,1792,51500,2.3,1,4.22,71.56,14,55
"John Smith Works, Inc.",SMITHS,Technology,1987,215,12.0,4,2.9,40.0,10,8
CardPoint Corp,CPRT,Financial Services,2000,500,2.0,5,3.8,20.0,12,10
"GL Wizmann, Inc.",GLOW,Healthcare Services,1969,5,0.2,1,8.9,60.4,12,150
"Cablevision Systems, Inc.",CPAY,Consumer Services,1993,150000,4.5,1,-2.0,25.0,12,50
C T Vanadium Corp,.CCTV.U?,Metals & Mining,2016,50,5.0,2,7.8,25.3,15,20
"Catalent, Inc.",CSGP,Healthcare/Biotechnology,2002,3000,3.0,1,75.0,85.0,11,5
Costco Wholesale Corporation,COST,Retail (Department Store) Retail (Discount),1983,550600,13.37,17,3.6,67.1,16,20
California Tissue Products Association,CTRA,Health Care Providers,1917,2000,20.0,5,2.9,35.0,10,250
CrowdStrike Holdings Inc.,CRWD,Technology Software,2007,60000,12.0,2,92.0,98.5,6,10000
C.C. Industries Inc.,CCI,Capital Goods,1945,100000,20.0,2,7.8,70.0,10,123
CSXT Corporation,CSX,Transportation,1853,29000,12.0,2,4.1,85.6,9,100
Comerica Incorporated,CMI,Financial Services,1848,5500,12.0,1,75.0,90.0,7,20
CVS Health,CVS,Healthcare - Retail & Services,1963,280000,7.0,1,2.5,20.0,11,100
Dress for Success,[D]ress[for][Su]c[cess],Retail Services,1996,2,0.0,1,4.3,15.5,8,3
DRi Inc.,DRI,Consumer Discretionary,1986,101,0.5,3,2.7,70.0,9,-1
DaVita Inc. (DVA),DVA,Healthcare Services,1995,40000,8.0,3,4.0,70.0,11,200
ABC Company,ABC,Technology,1984,15000,3.5,2,72.0,35.0,9,500
,,,0,0,0.0,0,0.0,0.0,0,0
,,,0,0,0.0,0,0.0,0.0,0,0
Dell Technologies Inc.,DELL.O,Technology,1984,550000,10.0,4,3.6,50.0,14,10000
"Amgen, Inc.",AMGN,Healthcare Services,1986,35000,11.0,3,4.5,80.0,20,500
,DVN,,0,0,0.0,0,0.0,0.0,0,0
Digital Health Solutions,DXCM,Technology,1978,1500000,10.0,3,4.5,75.4,15,10000
"Facebook, Inc.",$FB,Technology,2004,69,0.0,0,2.9,3.5,9,0
DRY FLOTTER CO,DLR,Maritime Services,1998,100,3.0,2,4.5,70.0,8,50
,,,0,100,10.0,0,4.0,25.0,9,-1
General Dynamics Corporation,GD,Defense,1899,400000,15.0,12,3.6,85.0,12,50000
DICK'S Sporting Goods,DLTR,Retail,1938,23000,15.3,11,3.9,30.0,13,456
Apple Inc.,.AAPL,Technology,1976,1730000,13.0,3,4.5,65.0,13,50
Diamond Power Corp,DPZ,Consumer Discretionary: Retail - Food & Beverage,1958,7500,12.5,4,3.6,55.0,6,100
"Dash Brands, Inc.",DASH,Food & Beverage Retailing,2016,1000,5.0,3,4.2,30.0,15,120
Dover Corporation,DOV,Industrials,1888,25000,25.0,12,73.0,90.4,14,200
The Dow Chemical Company,.DOW,Materials & Specialty Chemicals,1897,0,0.0,0,3.75,89.0,1,0
Duke Realty Corporation,DHI,Real Estate Investment Trusts (REITs),1958,142000,15.0,3,0.6,98.0,8,500
The Dow Chemical Company,DTE,Industrials,1897,55000,12.0,3,4.1,95.0,14,500
Duke University,DUK,Financial Services,1838,12325,2.5,6,3.9,96.45,41,125
,,,0,0,0.0,0,0.0,0.0,0,0
Empire Magnesium,EMN,Metals & Mining,2010,150,3.5,2,92.0,65.0,12,10
,ETN,,0,0,0.0,0,0.0,0.0,0,0
<company_name>,EBAY,e-commerce,1995,600000,3.2,17,32.0,85.0,28,100000
European Colonial Empires Inc.,.,.,1900,50000,15.0,5,7.8,90.0,30,200
Exide Industries Limited,EIX,Energy,1927,120000,11.2,9,4.1,50.3,12,42
NVIDIA Corporation,NVDA,"""Technology, semiconductors""",1993,13000,7.5,1,4.8,83.2,9,100
Electronic Arts,,,0,-1,-1.0,-1,-1.0,0.0,10,-10000
"Elavon Technologies, Inc.",ELV,Technology,2006,7000,5.0,7,4.2,45.0,10,200000
Electronic Medical Records,EMR,Healthcare,2001,5000,8.0,4,7.5,35.5,15,300
Enphase Energy,ENPH,Energy Infrastructure,2006,1100,13.0,2,3.7,42.0,9,5
Eurotitan S.A.,ETR,Energy,1959,21000,7.0,4,2.8,35.0,9,200
Eog Resources Inc,EOG,Oil & Gas Exploration,1921,17000,25.0,6,83.0,50.0,12,30
Enterprises for Application Management,EPAM,Information Technology,1999,60000,12.0,3,4.6,40.0,11,700
Equity Office Properties,EQTY,REIT - Real Estate Investment Trusts,1954,40000,12.0,1,78.0,50.0,2,400
Everett E. Firestone Co.,EFX,Conglomerate Industries,1883,230000,10.0,5,4.2,85.0,15,200
"Equinix, Inc.",EQIX,Technology,1998,15000,6.5,1,3.4,45.0,7,10
Equitable Resources Inc.,EQR,Energy Utilities,1911,4000,5.0,3,4.2,30.0,8,500
General Electric Company,.GE,Industrials/Technology/Materials/Airlines/Light/Rail/Electrical Systems,1892,326000,8.5,4,3.1,67.5,32,450000
,ESS,,0,0,0.0,1,0.0,0.0,10,101
Microsoft Corporation,MSFT,Technology,1975,181000,20.0,8,4.5,70.0,17,100
,,,1800,50000,5.2,3,4.2,45.0,7,100
,EVRG,,-1,-1,-1.0,-1,-1.0,-1.0,-1,-1
Global Tech Corp,GTCO,Technology,1990,50000,15.0,12,4.2,65.0,9,1
,,,0,0,0.0,0,0.0,0.0,0,100000
,,,0,0,0.0,0,0.0,25.0,9,1
@ExpediaGroup Inc,^EXPE^,Travel/Hospitality Services,1979,460000,18.0,1,4.2,95.0,13,600000
"eXPRESS Delivery Services, Inc.",EXPD,Transportation - Shipping & Logistics,2018,500,0.15,2,3.4,65.0,8,30
eBay Inc.,EBAY,E-commerce and Digital Payments,1995,2000,7.5,3,66.0,23.0,11,120
Chevron Corporation,XOM,Energy,1879,46500,40.25,7,4.3,80.0,16,150
"Square Enix Co., Ltd.",SQ,Technology,1976,1500,10.0,3,4.1,12.0,7,5
First Data Corporation,fds,Information Technology,1929,300000,7.0,2,3.4,90.0,9,500
Fidelity National Information Services,FNIS.Q,Technology,1969,5600,20.0,7,3.8,85.6,13,123
,,,0,0,0.0,0,0.0,0.0,0,0
,FRT,,0,0,0.0,-1,-1.0,0.0,11,5
FedEx Corporation,FDX,Logistics & Transportation,1971,700000,12.0,5,3.6,35.2,10,500
"First International Bank of Baltimore, National Association",FIS,Banks - Major Regional Banks,1808,1000,2.0,1,75.0,45.3,12,4
Ford International Investment Bank Corp,FITB,Finance,1994,90000,6.0,2,75.0,88.5,14,100
"First Solar, Inc.",FSLR,Renewable Energy,2006,6000,8.0,2,4.0,45.0,12,-1
<UNABLE TO FIND COMPANY INFORMATION>,TICKER_SYMBOL,SECTOR,0,0,0.0,0,0.0,0.0,0,0
,,,0,0,0.0,0,0.0,0.0,0,0
Your Company Name,***UNKNOWN***,,-1,-1,-1.0,-1,-1.0,-1.0,-1,0
Fortinet,FTNT,Technology,1991,5000,12.0,8,4.5,65.2,14,300
"FilmTrain Ventures, Inc.",FTV,Entertainment,2009,150,3.0,2,5.4,50.0,7,25
Fox Entertainment Group,FOX,Entertainment,1927,1000,2.0,4,3.5,35.0,12,50
Fox Corporation,FOXA,Media,1926,130000,5.0,3,4.2,97.0,15,100
Benjamin Moore, BEN MOORE INC (BMQ),Home Improvement Retailers,1887,40000,23.0,2,4.5,98.0,14,100
Freeport-McMoRan Inc.,FCX,Mining - Gold and Copper Exploration,1988,10000,5.9,2,74.0,60.0,8,200
German Automotive Holdings Group AG,GRMN,Automotive Manufacturers,1949,1025000,5.0,4,7.1,65.0,12,500
